time,GTI,DTI,BTI,RTI,kd,f1,f2,pipeline
2024-06-21 07:00:00.000,49.50760475011555,34.50760475011555,0.0,15.0,0.5253,,,1D
2024-06-21 08:00:00.000,124.94121586344933,68.13368167128343,26.8075341921659,30.0,0.46469999999999995,,,1D
2024-06-21 09:00:00.000,260.0846724187964,120.69027432490178,89.39439809389464,50.0,0.45459999999999995,,,1D
2024-06-21 10:00:00.000,386.2638308557444,180.49083885981761,137.7729919959268,68.0,0.5152,,,1D
2024-06-21 11:00:00.000,461.9886980187261,0.061969832435564504,379.9267281862905,82.0,0.0001,,,1D
2024-06-21 12:00:00.000,516.8177734632435,426.8177734632435,0.0,90.0,1.0,,,1D
2024-06-21 13:00:00.000,490.17727661895486,61.09053657858264,344.0867400403722,85.0,0.1112,,,1D
2024-06-21 14:00:00.000,393.425052543009,225.36342761006455,96.06162493294443,72.0,0.6667,,,1D
2024-06-21 15:00:00.000,266.9429263358444,131.4100878688827,80.53283846696166,55.0,0.5051,,,1D
2024-06-21 16:00:00.000,162.5349598854123,116.52684472341636,8.008115161995933,38.0,0.8080999999999999,,,1D
