time,GTI,DTI,BTI,RTI,kd,f1,f2,pipeline
2024-06-21 07:00:00.000,44.00846140045352,29.00846140045352,0.0,15.0,0.6470042649137063,0.43511776248573,0.016459140726445543,3D
2024-06-21 08:00:00.000,127.37326099722806,71.28948382872379,26.083777168504266,30.0,0.47915217348185973,0.48689970130808574,0.15811278380005803,3D
2024-06-21 09:00:00.000,252.52835685825352,115.04473321936354,87.48362363888997,50.0,0.4662577370616104,0.4892149073190891,0.07771810191949906,3D
2024-06-21 10:00:00.000,366.8746077677752,89.9322878368564,208.9423199309188,68.0,0.2647670981442851,0.12211945098346011,0.009531938962278124,3D
2024-06-21 11:00:00.000,402.8622521841023,-40.500906317218494,361.3631585013208,82.0,0.048956034469098415,5.237557298550269e-08,-1.5088919498697788,3D
2024-06-21 12:00:00.000,226.94913147313304,350.71371799603247,-213.76458652289944,90.0,1.4999999810798417,1.9747159548375822e-17,-0.2402120574668603,3D
2024-06-21 13:00:00.000,413.1737622554852,24.583816542691864,303.58994571279334,85.0,0.2158060385649528,0.0,-0.3659808719840601,3D
2024-06-21 14:00:00.000,291.3614376012197,126.51249773777147,92.84893986344822,72.0,0.6778468854957486,0.3713181281789521,-0.2037579035889383,3D
2024-06-21 15:00:00.000,227.44064120009745,94.20035558055667,78.24028561954078,55.0,0.5191884690740667,0.48628558842209507,-0.07084514399469716,3D
2024-06-21 16:00:00.000,72.94511901649554,11.036216429452573,23.908902587042967,38.0,0.42706638033536853,0.0,-0.43199494001016403,3D
